"nome","resumo","coordenador"
"MANIPULAÇÃO DE SEQUENCIAS E ISOLADOS MICROBIANOS","Em breve este conteúdo estará disponível.","Alexander Machado Cardoso "
"AVALIAÇÃO IN VIVO DO POTENCIAL PROBIÓTICO DE CEPAS DE CORYNEBACTERIUM SPP. NÃO-DIFTÉRICAS","Em breve este conteúdo estará disponível.","Louisy Sanches Dos Santos Sant'anna "
"PROPRIEDADES BIOLÓGICAS DE FITOSUBSTÂNCIAS DE RELEVÂNCIA PARA SAÚDE HUMANA ANIMAL E AMBIENTAL.","Em breve este conteúdo estará disponível.","Maria Cristina Assis "
"METODOLOGIAS DE PRÁTICAS PARA ENSINO DE MICROBIOLOGIA EM ESCOLAS DA REDE PÚBLICA S","Em breve este conteúdo estará disponível.","Monica Antonia Saad Ferreira "
